"training_points","PVP 3 roberta - _step","PVP 3 roberta - _step__MIN","PVP 3 roberta - _step__MAX","PVP 3 roberta - test-acc-all-p","PVP 3 roberta - test-acc-all-p__MIN","PVP 3 roberta - test-acc-all-p__MAX","PVP 0 roberta - _step","PVP 0 roberta - _step__MIN","PVP 0 roberta - _step__MAX","PVP 0 roberta - test-acc-all-p","PVP 0 roberta - test-acc-all-p__MIN","PVP 0 roberta - test-acc-all-p__MAX","PVP 0 roberta neutral verbalizer - _step","PVP 0 roberta neutral verbalizer - _step__MIN","PVP 0 roberta neutral verbalizer - _step__MAX","PVP 0 roberta neutral verbalizer - test-acc-all-p","PVP 0 roberta neutral verbalizer - test-acc-all-p__MIN","PVP 0 roberta neutral verbalizer - test-acc-all-p__MAX","PVP 3 roberta neutral verbalizer - _step","PVP 3 roberta neutral verbalizer - _step__MIN","PVP 3 roberta neutral verbalizer - _step__MAX","PVP 3 roberta neutral verbalizer - test-acc-all-p","PVP 3 roberta neutral verbalizer - test-acc-all-p__MIN","PVP 3 roberta neutral verbalizer - test-acc-all-p__MAX","CLF roberta - _step","CLF roberta - _step__MIN","CLF roberta - _step__MAX","CLF roberta - test-acc-all-p","CLF roberta - test-acc-all-p__MIN","CLF roberta - test-acc-all-p__MAX"
"10","0","0","0","0.4954873646209386","0.49097472924187724","0.5018050541516246","0","0","0","0.5532490974729242","0.5523465703971119","0.555956678700361","0","0","0","0.4684115523465704","0.4657039711191336","0.4693140794223827","0","0","0","0.4629963898916968","0.4548736462093863","0.4729241877256318","0","0","0","0.5180505415162455","0.49097472924187724","0.5270758122743683"
"15","1","1","1","0.5370036101083033","0.5234657039711191","0.5415162454873647","1","1","1","0.5261732851985559","0.5126353790613718","0.5523465703971119","1","1","1","0.47743682310469315","0.4693140794223827","0.48736462093862815","1","1","1","0.4783393501805054","0.47653429602888087","0.48014440433212996","1","1","1","0.5081227436823104","0.49097472924187724","0.516245487364621"
"20","2","2","2","0.5848375451263538","0.5740072202166066","0.5884476534296029","2","2","2","0.5767148014440433","0.5631768953068592","0.5884476534296029","2","2","2","0.5018050541516246","0.48014440433212996","0.5234657039711191","2","2","2","0.5054151624548736","0.5054151624548736","0.5054151624548736","2","2","2","0.4756317689530686","0.4620938628158845","0.48014440433212996"
"32","3","3","3","0.601985559566787","0.5812274368231047","0.6209386281588448","3","3","3","0.5956678700361011","0.5703971119133574","0.631768953068592","3","3","3","0.4963898916967509","0.48014440433212996","0.5054151624548736","3","3","3","0.5009025270758123","0.4657039711191336","0.516245487364621","3","3","3","0.47111913357400725","0.4693140794223827","0.47653429602888087"
"50","4","4","4","0.6191335740072201","0.6064981949458483","0.6389891696750902","4","4","4","0.6561371841155235","0.628158844765343","0.6823104693140795","4","4","4","0.49097472924187724","0.4693140794223827","0.5090252707581228","4","4","4","0.4981949458483754","0.4657039711191336","0.51985559566787","4","4","4","0.5397111913357401","0.4693140794223827","0.631768953068592"
"70","5","5","5","0.6227436823104694","0.6064981949458483","0.6353790613718412","5","5","5","0.6471119133574007","0.6101083032490975","0.7003610108303249","5","5","5","0.48916967509025266","0.4584837545126354","0.51985559566787","5","5","5","0.5180505415162455","0.5126353790613718","0.5342960288808665","5","5","5","0.5270758122743682","0.4693140794223827","0.5956678700361011"
"100","6","6","6","0.6570397111913358","0.6498194945848376","0.6714801444043321","6","6","6","0.6651624548736461","0.6389891696750902","0.7111913357400722","6","6","6","0.5252707581227437","0.516245487364621","0.5487364620938628","6","6","6","0.5216606498194946","0.5054151624548736","0.5415162454873647","6","6","6","0.5749097472924187","0.5451263537906137","0.5848375451263538"
"150","7","7","7","0.6453068592057761","0.6173285198555957","0.6787003610108303","7","7","7","0.657942238267148","0.592057761732852","0.6967509025270758","7","7","7","0.5740072202166064","0.5631768953068592","0.5812274368231047","7","7","7","0.5487364620938628","0.5306859205776173","0.5703971119133574","7","7","7","0.5947653429602888","0.5703971119133574","0.6425992779783394"
"200","8","8","8","0.6931407942238267","0.6498194945848376","0.7111913357400722","8","8","8","0.7166064981949458","0.7003610108303249","0.7292418772563177","8","8","8","0.5604693140794225","0.5415162454873647","0.5812274368231047","8","8","8","0.5315884476534296","0.5270758122743683","0.5342960288808665","8","8","8","0.6137184115523466","0.49097472924187724","0.6750902527075813"
"320","9","9","9","0.6931407942238267","0.6137184115523465","0.7364620938628159","9","9","9","0.7256317689530686","0.7075812274368231","0.7581227436823105","9","9","9","0.5397111913357401","0.47653429602888087","0.5848375451263538","9","9","9","0.5731046931407943","0.5415162454873647","0.6028880866425993","9","9","9","0.6624548736462094","0.6606498194945848","0.6678700361010831"
"500","10","10","10","0.733754512635379","0.6137184115523465","0.7870036101083032","10","10","10","0.7509025270758123","0.7256317689530686","0.7617328519855595","10","10","10","0.677797833935018","0.47653429602888087","0.7653429602888087","10","10","10","0.5884476534296028","0.5451263537906137","0.631768953068592","10","10","10","0.7148014440433214","0.6823104693140795","0.7364620938628159"
"750","11","11","11","0.7743682310469314","0.6642599277978339","0.8267148014440433","11","11","11","0.8194945848375451","0.7978339350180506","0.8375451263537906","11","11","11","0.753610108303249","0.7075812274368231","0.7833935018050542","11","11","11","0.7265342960288809","0.6967509025270758","0.7545126353790613","11","11","11","0.7653429602888087","0.7581227436823105","0.7725631768953068"
"1000","12","12","12","0.8393501805054152","0.8267148014440433","0.855595667870036","12","12","12","0.8231046931407943","0.7906137184115524","0.8592057761732852","12","12","12","0.6823104693140795","0.516245487364621","0.779783393501805","12","12","12","0.7815884476534296","0.7256317689530686","0.8122743682310469","12","12","12","0.7617328519855596","0.7292418772563177","0.7906137184115524"
"1500","13","13","13","0.8402527075812274","0.8267148014440433","0.8592057761732852","13","13","13","0.7454873646209387","0.6678700361010831","0.8231046931407943","13","13","13","0.7129963898916968","0.5234657039711191","0.8267148014440433","13","13","13","0.8303249097472925","0.8122743682310469","0.8483754512635379","13","13","13","0.8285198555956679","0.8122743682310469","0.8375451263537906"
"2240","14","14","14","0.7969314079422383","0.7111913357400722","0.8411552346570397","14","14","14","0.8086642599277979","0.6678700361010831","0.8664259927797834","14","14","14","0.7509025270758123","0.5234657039711191","0.851985559566787","14","14","14","0.855595667870036","0.8267148014440433","0.8808664259927798","14","14","14","0.8564981949458483","0.8339350180505415","0.8700361010830325"